"SiteCode";"la_id";"Classification";"os_grid_x";"os_grid_y";"Latitude";"Longitude";"OpeningDate";"ClosingDate"
"BY8";500;"Roadside";540400;169400;51.4062281006624;0.0171886320005196;1998-08-18 01:00:00;2000-07-25 01:00:00
"EA4";503;"Roadside";512900;180350;51.5107813045151;-0.374504266806775;1998-11-30 00:00:00;1999-03-01 00:00:00
"EA5";503;"Roadside";513100;180350;51.5107413482791;-0.371623518773101;1999-03-01 00:00:00;2001-06-21 01:00:00
"RI7";503;"Suburban";520690;173230;51.4451829242026;-0.264734269467253;2002-04-28 01:00:00;2002-09-10 01:00:00
"BF4";150;"Roadside";504491;249619;52.135018;-0.474713;2008-12-01 00:00:00;2011-11-01 00:00:00
"CS6";652;"Urban Background";437909;370545;53.23056526696;-1.43356664416152;2008-03-13 00:00:00;
"KG2";20;"Urban Background";525509;178268;51.4894131144322;-0.193640886158949;2013-10-30 00:00:00;2014-10-31 00:00:00
"RI8";503;"Suburban";520690;173230;51.4451829242026;-0.264734269467253;2002-04-28 01:00:00;2002-09-10 01:00:00
"RIA";503;"Kerbside";517847;174890;51.460700406459;-0.305071403633284;2002-09-16 01:00:00;2002-11-19 00:00:00
"RIB";503;"Kerbside";517847;174890;51.460700406459;-0.305071403633284;2002-09-16 01:00:00;2002-11-19 00:00:00
"MR3";650;"Kerbside";528125;182016;51.5223667052165;-0.154699996073154;1997-08-12 10:00:00;
"CO1";500;"Kerbside";528125;182016;51.5225093597419;-0.154622154656843;2006-01-31 00:00:00;2007-03-05 00:00:00
"BT7";4;"Urban Background";525173;183297;51.534718;-0.196664;2008-01-04 00:00:00;2010-12-21 00:00:00
"LH1";500;"Urban Background";507600;176700;51.4790076192899;-0.451958197008976;1947-01-01 00:00:00;
"HT2";207;"Roadside";577033;108723;50.850936016023;0.5136444126694;2008-03-01 00:00:00;2011-04-02 01:00:00
"SU3";200;"Kerbside";521350;122500;50.9890941150671;-0.272393592271977;2007-07-23 01:00:00;2007-12-04 00:00:00
"EI0";9;"Urban Background";514323;184070;51.5439296252862;-0.352801776049933;2008-03-25 00:00:00;2009-04-15 01:00:00
"TK8";34;"Roadside";556698;177937;51.478697;0.255133;2008-04-04 02:00:00;
"PT4";500;"Industrial";278745;187410;51.5724519618149;-3.75105088301475;2007-07-24 01:00:00;
"TB1";650;"Rural";562200;179100;51.4875633523341;0.334796226699735;1993-03-30 01:00:00;2005-04-09 01:00:00
"MO2";500;"Rural";262630;187170;51.5665963191827;-3.98334810595898;1999-01-01 00:00:00;
"XB1";500;"Rural";485700;233700;51.9951158462609;-0.75320735979272;1969-04-01 01:00:00;
"ERG";500;"Urban Background";0;0;;;2008-07-07 01:00:00;
"MD4";150;"Rural";500444;241668;52.064308;-0.536167;2008-07-01 01:00:00;2011-10-31 00:00:00
"TL2";500;"Roadside";538299;181449;51.5150170083421;-0.00829004890891997;2008-07-17 01:00:00;2018-10-24 01:00:00
"TL1";500;"Roadside";520712;185164;51.5524326273922;-0.260338843869077;2008-07-17 01:00:00;2015-03-27 00:00:00
"OX0";275;"Urban Background";451372;206153;51.7516955428026;-1.25721684237646;2006-12-01 01:00:00;
"OX4";275;"Urban Background";451255;205462;51.745493941565;-1.25901319395777;2006-12-01 00:00:00;
"GR8";11;"Roadside";540200;178367;51.486884;0.017901;2004-07-08 01:00:00;
"LRS";600;"Roadside";0;0;49.7667866669653;-7.55715939721731;1994-01-01 00:00:00;
"LBG";600;"Urban Background";0;0;49.7667866669653;-7.55715939721731;1994-01-01 00:00:00;
"HS6";18;"Roadside";513653;176842;51.479129;-0.36476;2006-04-13 01:00:00;2012-04-01 01:00:00
"PT6";500;"Industrial";278708;187384;51.5722103307815;-3.75157552366528;2007-07-19 01:00:00;
"NK4";500;"Urban Background";524045;181752;51.5210467476039;-0.213492139585065;2016-05-11 01:00:00;2016-06-27 01:00:00
"IG4";504;"Urban Background";543978;174655;51.45258;0.070766;2008-05-13 01:00:00;2011-06-16 01:00:00
"FB1";178;"Roadside";485063;156969;51.305503;-0.781091;2004-01-01 00:00:00;2011-04-28 01:00:00
"BX9";3;"Suburban";551864;176379;51.4659832746662;0.184877126994369;2008-10-21 01:00:00;
"GV1";33;"Roadside";528350;178921;51.493492;-0.149906;2018-12-11 09:00:00;
"ST6";29;"Kerbside";522557;165787;51.377923;-0.240414;2008-11-04 00:00:00;
"MR7";500;"Kerbside";528125;182016;51.5225093597419;-0.154622154656843;2019-03-01 00:00:00;2019-11-20 00:00:00
"SX9";200;"Kerbside";544250;101750;50.7973438519171;0.045490786692181;2006-02-07 00:00:00;2006-05-09 01:00:00
"MW3";35;"Rural";493808;169297;51.414941181381;-0.652429197866;2005-01-28 00:00:00;2012-03-19 00:00:00
"ZW3";100;"Roadside";600395;160892;51.3118187040246;0.873974842244302;2006-03-15 00:00:00;
"RGZ";500;"Rural";526400;139600;51.1416972075109;-0.194509266326039;2006-03-29 01:00:00;2006-10-17 01:00:00
"IS4";19;"Urban Background";529610;186230;51.5600403385285;-0.131679425163847;2006-04-20 01:00:00;2009-03-11 00:00:00
"IS5";19;"Roadside";531580;183190;51.5322658877275;-0.104413186512037;2006-08-04 01:00:00;2009-03-11 00:00:00
"SU1";200;"Kerbside";485810;103840;50.8277240829443;-0.782997013116517;2006-07-04 01:00:00;2006-12-04 00:00:00
"RIS";503;"Roadside";513975;172924;51.4438224398962;-0.36141376634065;2006-07-24 01:00:00;2008-01-08 09:00:00
"RIT";503;"Roadside";513975;172924;51.4438224398962;-0.36141376634065;2006-07-24 01:00:00;2008-01-08 09:00:00
"RD0";325;"Urban Background";473441;173198;51.4529847075166;-0.944461432664066;2003-10-17 01:00:00;
"BH7";203;"Roadside";530975;104724;50.8272230188876;-0.141705374326714;2006-09-26 01:00:00;2007-06-20 01:00:00
"BF3";150;"Industrial";502837;246265;52.105186;-0.499894;2006-10-01 01:00:00;2009-08-11 01:00:00
"BQ8";3;"Urban Background";548465;179469;51.4946486813055;0.137279111232178;2010-08-24 01:00:00;
"WM8";33;"Urban Background";529042;179208;51.497066177578;-0.142438820740121;2014-01-06 00:00:00;2016-04-04 01:00:00
"JA1";506;"Kerbside";0;0;49.7667866669653;-7.55715939721731;2013-12-01 00:00:00;
"XN2";500;"Urban Background";100000;100000;50.7219499093979;-6.25202012130081;2014-01-01 00:00:00;2019-09-16 01:00:00
"XL4";500;"Urban Background";532101;178832;51.4929813788003;-0.0985378910481832;2015-04-13 01:00:00;
"RHA";503;"Roadside";518557;175460;51.4656751682938;-0.294665384985479;2011-01-12 00:00:00;2012-01-04 00:00:00
"LD1";500;"Urban Background";430296;432326;53.7863449549847;-1.54165933091065;2008-01-01 00:00:00;
